property_id,listing_status,listing_type,listing_date,closing_date,building___society,area___locality,city,pincode,property_type,bedrooms__bhk,area__sq__ft,asking_price__â_¹,monthly_rent__â_¹,final_price__â_¹,owner_name
RENT-APAR-2001,Rented,Rent,2025-02-24,2025-05-21,Deep Towers,Golden Nest,Mira Bhayandar,401105,Apartment,3.0,1147,,41000.0,41000.0,Kabir Loke
SALE-OFFI-2002,Sold,Sale,2020-12-12,2021-01-19,Mane Towers,Shanti Nagar,Mira Bhayandar,401105,Office Space,,882,19600000.0,,19146491.0,Samaksh Morar
RENT-APAR-2003,Rented,Rent,2025-01-21,2025-03-05,Iyer Residency,Bhayandar East,Mira Bhayandar,401105,Apartment,3.0,1235,,52000.0,52000.0,Veer Gulati
SALE-APAR-2004,Sold,Sale,2021-01-18,2021-03-02,Wagle Heights,Bhayandar West,Mira Bhayandar,401101,Apartment,2.0,828,10100000.0,,9821493.0,Raksha Bakshi
SALE-APAR-2005,Sold,Sale,2025-05-01,2025-06-08,Hegde Towers,Shanti Nagar,Mira Bhayandar,401101,Apartment,3.0,1773,19300000.0,,18500624.0,Leela Khalsa
SALE-OFFI-2006,Sold,Sale,2025-05-08,2025-07-05,Devi Park,Bhayandar West,Mira Bhayandar,401107,Office Space,,2075,39300000.0,,38642781.0,Tara Bassi
RENT-OFFI-2007,Rented,Rent,2022-02-11,2022-03-22,Tiwari Residency,Mira Road East,Mira Bhayandar,401107,Office Space,,395,,147000.0,147000.0,Dipta Naidu
RENT-APAR-2008,Rented,Rent,2024-10-09,2024-11-13,Bhalla Heights,Shanti Nagar,Mira Bhayandar,401101,Apartment,1.0,426,,22000.0,22000.0,Aarna Soman
RENT-APAR-2009,Rented,Rent,2020-11-16,2021-01-02,Taneja Complex,Shanti Nagar,Mira Bhayandar,401105,Apartment,1.0,497,,18000.0,18000.0,Gaurika Anne
SALE-APAR-2010,Sold,Sale,2023-11-23,2024-01-27,Kohli Complex,Shanti Nagar,Mira Bhayandar,401107,Apartment,1.0,502,6000000.0,,5886655.0,Bhavna Narasimhan
RENT-SHOP-2011,Rented,Rent,2022-09-03,2022-10-03,Kapoor Residency,Bhayandar West,Mira Bhayandar,401101,Shop,,539,,70000.0,70000.0,Mason Dara
RENT-OFFI-2012,Rented,Rent,2022-02-11,2022-04-12,Prakash Towers,Golden Nest,Mira Bhayandar,401101,Office Space,,640,,111000.0,111000.0,Upkaar Kohli
RENT-APAR-2013,Rented,Rent,2022-01-10,2022-03-02,Swaminathan Residency,Shanti Nagar,Mira Bhayandar,401101,Apartment,2.0,831,,30000.0,30000.0,Sarthak Manne
RENT-OFFI-2014,Rented,Rent,2022-05-23,2022-08-13,Sankaran Park,Bhayandar West,Mira Bhayandar,401107,Office Space,,1748,,89000.0,89000.0,Ekaraj Balan
SALE-APAR-2015,Sold,Sale,2023-06-23,2023-09-21,Cherian Residency,Bhayandar East,Mira Bhayandar,401107,Apartment,1.0,591,5500000.0,,5433032.0,Aarnav Wason
