client_id,client_name,property_id,similarity_score,bhk_match,location_match,price_match,listing_type,furnishing_match
CL-1001,Devika Khosla,RENT-APAR-297,97.0,3.0,bhayandar east,48000.0,Rent,Fully Furnished
CL-1001,Devika Khosla,RENT-APAR-223,90.0,4.0,bhayandar east,43000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-877,90.0,3.0,mira road east,43000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-800,85.0,4.0,bhayandar east,42000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-446,80.0,3.0,beverly park,41000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-706,80.0,2.0,bhayandar east,25000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-713,80.0,2.0,bhayandar east,39000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-831,80.0,3.0,mira road east,45000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-914,80.0,3.0,kanakia,41000.0,Rent,Semi-Furnished
CL-1001,Devika Khosla,RENT-APAR-102,75.0,3.0,shivar garden,45000.0,Rent,Semi-Furnished
CL-1002,Chaman Seshadri,RENT-APAR-877,90.0,3.0,mira road east,43000.0,Rent,Semi-Furnished
CL-1002,Chaman Seshadri,RENT-APAR-297,80.0,3.0,bhayandar east,48000.0,Rent,Fully Furnished
CL-1002,Chaman Seshadri,RENT-APAR-831,80.0,3.0,mira road east,45000.0,Rent,Semi-Furnished
CL-1002,Chaman Seshadri,RENT-APAR-825,75.0,3.0,beverly park,40000.0,Rent,Unfurnished
CL-1002,Chaman Seshadri,RENT-APAR-130,70.0,3.0,naya nagar,46000.0,Rent,Unfurnished
CL-1002,Chaman Seshadri,RENT-APAR-223,70.0,4.0,bhayandar east,43000.0,Rent,Semi-Furnished
CL-1002,Chaman Seshadri,RENT-APAR-446,70.0,3.0,beverly park,41000.0,Rent,Semi-Furnished
CL-1002,Chaman Seshadri,RENT-APAR-914,70.0,3.0,kanakia,41000.0,Rent,Semi-Furnished
CL-1002,Chaman Seshadri,RENT-APAR-926,70.0,4.0,golden nest,42000.0,Rent,Unfurnished
CL-1002,Chaman Seshadri,RENT-APAR-944,70.0,4.0,mira road east,44000.0,Rent,Fully Furnished
CL-1003,Bhavani Keer,SALE-APAR-517,80.0,2.0,mira road east,8500000.0,Sale,Semi-Furnished
CL-1003,Bhavani Keer,SALE-APAR-633,75.0,1.0,bhayandar west,5900000.0,Sale,Semi-Furnished
CL-1003,Bhavani Keer,SALE-APAR-1030,75.0,1.0,bhayandar west,6800000.0,Sale,Unfurnished
CL-1003,Bhavani Keer,SALE-APAR-1086,75.0,1.0,bhayandar west,6300000.0,Sale,Semi-Furnished
CL-1003,Bhavani Keer,SALE-APAR-196,70.0,1.0,bhayandar east,7200000.0,Sale,Unfurnished
CL-1003,Bhavani Keer,SALE-APAR-254,70.0,1.0,bhayandar west,4500000.0,Sale,Semi-Furnished
CL-1003,Bhavani Keer,SALE-APAR-697,70.0,2.0,jesal park,8100000.0,Sale,Unfurnished
CL-1003,Bhavani Keer,SALE-APAR-722,70.0,2.0,jesal park,8100000.0,Sale,Semi-Furnished
CL-1003,Bhavani Keer,SALE-APAR-972,70.0,1.0,bhayandar west,4600000.0,Sale,Fully Furnished
CL-1003,Bhavani Keer,SALE-OFFI-136,65.0,,bhayandar west,7200000.0,Sale,Semi-Furnished
CL-1004,Owen Buch,SALE-APAR-618,90.0,2.0,beverly park,13900000.0,Sale,Fully Furnished
CL-1004,Owen Buch,SALE-APAR-954,90.0,2.0,shanti nagar,11200000.0,Sale,Semi-Furnished
CL-1004,Owen Buch,SALE-APAR-995,90.0,2.0,bhayandar west,12000000.0,Sale,Semi-Furnished
CL-1004,Owen Buch,SALE-APAR-1084,90.0,2.0,beverly park,14000000.0,Sale,Unfurnished
CL-1004,Owen Buch,SALE-APAR-109,85.0,2.0,golden nest,12200000.0,Sale,Semi-Furnished
CL-1004,Owen Buch,SALE-APAR-110,85.0,2.0,beverly park,9800000.0,Sale,Semi-Furnished
CL-1004,Owen Buch,SALE-APAR-121,85.0,2.0,shivar garden,9300000.0,Sale,Fully Furnished
CL-1004,Owen Buch,SALE-APAR-185,85.0,2.0,golden nest,9000000.0,Sale,Unfurnished
CL-1004,Owen Buch,SALE-APAR-241,85.0,2.0,shivar garden,11900000.0,Sale,Unfurnished
CL-1004,Owen Buch,SALE-APAR-460,85.0,2.0,mira road east,10200000.0,Sale,Unfurnished
CL-1005,Neha Ahuja,SALE-APAR-460,90.0,2.0,mira road east,10200000.0,Sale,Unfurnished
CL-1005,Neha Ahuja,SALE-APAR-517,85.0,2.0,mira road east,8500000.0,Sale,Semi-Furnished
CL-1005,Neha Ahuja,SALE-APAR-526,80.0,2.0,bhayandar east,11000000.0,Sale,Fully Furnished
