clientid,client_name,client_phone,client_email,looking_for,requirements,status,client_bhk,client_furnishing,client_location,client_flexible_location,client_budget,client_listing_type
CL-1001,Devika Khosla,411761421,devika.45@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹48k",Site Visit Planned,3,Semi-Furnished,Bhayandar East,False,48000,Rent
CL-1002,Chaman Seshadri,1096377547,chaman.77@example.com,Rent,"3 BHK Unfurnished in Mira Road East, Rent up to â‚¹50k",Site Visit Planned,3,Unfurnished,Mira Road East,False,50000,Rent
CL-1003,Bhavani Keer,3063273144,bhavani.77@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹85L",Site Visit Planned,2,,Bhayandar West,False,8500000,Sale
CL-1004,Owen Buch,917717612125,owen.26@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹140L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,14000000,Sale
CL-1005,Neha Ahuja,911406434886,neha.31@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹125L",Lost Interest,2,,Mira Road East,False,12500000,Sale
CL-1006,Ikshita Dalal,4491969925,ikshita.69@example.com,Rent,"2 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹32k",Negotiating,2,Unfurnished,Anywhere in Mira Bhayandar,True,32000,Rent
CL-1007,Yagnesh Sarraf,6097225134,yagnesh.69@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹115L",Site Visit Planned,2,,Bhayandar West,False,11500000,Sale
CL-1008,Rohan Barman,9817001795,rohan.9@example.com,Rent,"2 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹38k",Actively Searching,2,Fully Furnished,Bhayandar East,False,38000,Rent
CL-1009,Abeer Buch,3582433266,abeer.2@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹52k",Deal Closed,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,52000,Rent
CL-1010,Neha Sridhar,1142821421,neha.51@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹22k",Site Visit Planned,1,Semi-Furnished,Bhayandar East,False,22000,Rent
CL-1011,Oscar Chander,3743541928,oscar.66@example.com,Rent,"1 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹18k",On Hold,1,Fully Furnished,Bhayandar West,False,18000,Rent
CL-1012,Faris Manda,9100264217,faris.51@example.com,Rent,"3 BHK Unfurnished in Bhayandar West, Rent up to â‚¹50k",Negotiating,3,Unfurnished,Bhayandar West,False,50000,Rent
CL-1013,Kai Agrawal,8074297945,kai.17@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹55L",Lost Interest,1,,Bhayandar East,False,5500000,Sale
CL-1014,Girik Thaman,915702373212,girik.43@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹160L",On Hold,3,,Bhayandar West,False,16000000,Sale
CL-1015,Bimala Mody,913369545731,bimala.52@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹60L",Actively Searching,1,,Anywhere in Mira Bhayandar,True,6000000,Sale
CL-1016,Vanya Saran,2555906033,vanya.77@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹80L",On Hold,2,,Bhayandar East,False,8000000,Sale
CL-1017,Aarush Manda,915335705404,aarush.93@example.com,Rent,"1 BHK Unfurnished in Mira Road East, Rent up to â‚¹23k",Negotiating,1,Unfurnished,Mira Road East,False,23000,Rent
CL-1018,Turvi Bhatt,3598607108,turvi.57@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹140L",Negotiating,2,,Bhayandar East,False,14000000,Sale
CL-1019,Gagan Pradhan,8687993566,gagan.30@example.com,Rent,"3 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹56k",Deal Closed,3,Fully Furnished,Bhayandar East,False,56000,Rent
