property_id,listing_status,listing_type,listing_date,building___society,area___locality,city,pincode,property_type,bedrooms__bhk,bathrooms,area__sq__ft,area_type,floor_number,total_floors,furnishing,facing_direction,parking__cars,property_age__yrs,amenities,asking_price__â_¹,monthly_rent__â_¹,security_deposit__â_¹,maint____month__â_¹,price_negotiable,commission,owner_name,owner_phone,price_per_sqft,rent_per_sqft,normalized_location,maint___month__â_¹
SALE-BUNG-101,Available,Sale,2024-10-23,Dada Enclave,Mira Road East,Mira Bhayandar,401107.0,Bungalow,3.0,4,2538,Carpet,0,2,Semi-Furnished,West,0,24,exploit back-end initiatives,45500000.0,,,0.0,1,2.0,Ikshita Savant,8254248230.0,17927.50197005516,,mira road east,
RENT-APAR-102,Available,Rent,2024-04-01,Sarna Heights,Shivar Garden,Mira Bhayandar,401107.0,Apartment,3.0,4,1677,Carpet,11,27,Semi-Furnished,North,0,18,morph efficient platforms,,45000.0,180000.0,5108.0,1,2.0,Max Sangha,913821382780.0,,26.833631484794275,shivar garden,
SALE-BUNG-103,Available,Sale,2024-11-21,Solanki Enclave,Shanti Nagar,Mira Bhayandar,401105.0,Bungalow,5.0,6,2056,Built-up,0,2,Fully Furnished,West,1,4,re-intermediate proactive models,28800000.0,,,0.0,1,1.0,Indrajit Narasimhan,6451418260.0,14007.782101167317,,shanti nagar,
SALE-OFFI-104,Available,Sale,2023-11-01,Kala Plaza,Golden Nest,Mira Bhayandar,401101.0,Office Space,,0,1224,Built-up,4,2,Fully Furnished,East,0,13,morph compelling mindshare,32000000.0,,,0.0,1,1.0,Falan Majumdar,913725873585.0,26143.7908496732,,golden nest,
RENT-OFFI-105,Available,Rent,2025-06-30,Peri Park,Beverly Park,Mira Bhayandar,401107.0,Office Space,,0,900,Built-up,23,2,Semi-Furnished,South,1,23,maximize cross-platform relationships,,170000.0,510000.0,0.0,0,2.0,Nirja Barad,910026345578.0,,188.88888888888889,beverly park,
RENT-SHOP-106,Available,Rent,2025-03-29,Chowdhury Gardens,Golden Nest,Mira Bhayandar,401107.0,Shop,,1,2351,Built-up,24,2,Unfurnished,South-West,0,11,engineer open-source metrics,,85000.0,425000.0,0.0,1,2.0,Dakshesh Naidu,9263844943.0,,36.154827732879625,golden nest,
RENT-SHOP-107,Available,Rent,2024-05-04,Sankar Park,Shivar Garden,Mira Bhayandar,401107.0,Shop,,0,470,Built-up,6,2,Unfurnished,South-West,2,6,morph extensible communities,,136000.0,272000.0,0.0,0,2.0,Timothy Chander,7590545329.0,,289.3617021276596,shivar garden,
SALE-APAR-108,Available,Sale,2023-09-30,Pal Greens,Shivar Garden,Mira Bhayandar,401101.0,Apartment,3.0,3,1691,Carpet,14,5,Semi-Furnished,North-East,1,6,deliver real-time schemas,27600000.0,,,6006.0,1,2.0,Isha Suri,1280709108.0,16321.703134240095,,shivar garden,
SALE-APAR-109,Available,Sale,2025-06-22,Raju Park,Golden Nest,Mira Bhayandar,401101.0,Apartment,2.0,2,801,Carpet,11,21,Semi-Furnished,West,0,19,embrace enterprise platforms,12200000.0,,,3068.0,1,1.0,Champak Raja,916308528687.0,15230.96129837703,,golden nest,
SALE-APAR-110,Available,Sale,2025-04-21,Rai Gardens,Beverly Park,Mira Bhayandar,401101.0,Apartment,2.0,3,808,Carpet,23,10,Semi-Furnished,South-West,1,14,mesh best-of-breed content,9800000.0,,,2274.0,0,2.0,Bahadurjit Din,9543703731.0,12128.712871287127,,beverly park,
RENT-SHOP-111,Available,Rent,2024-11-10,Patla Heights,Bhayandar West,Mira Bhayandar,401107.0,Shop,,1,550,Carpet,4,2,Unfurnished,West,1,25,extend dot-com deliverables,,106000.0,530000.0,0.0,1,2.0,Benjamin Tata,4248917039.0,,192.72727272727272,bhayandar west,
SALE-BUNG-112,Available,Sale,2024-05-12,Saxena Complex,Shivar Garden,Mira Bhayandar,401107.0,Bungalow,3.0,4,2404,Carpet,0,2,Unfurnished,South,2,6,brand sticky networks,45100000.0,,,0.0,0,2.0,Kala Jani,1179677571.0,18760.399334442594,,shivar garden,
RENT-APAR-113,Available,Rent,2023-10-15,Krishna Complex,Golden Nest,Mira Bhayandar,401101.0,Apartment,3.0,3,1834,Carpet,20,5,Unfurnished,East,2,8,streamline real-time metrics,,55000.0,220000.0,7646.0,0,1.0,Triya Ganesh,916442378505.0,,29.989094874591057,golden nest,
RENT-SHOP-114,Available,Rent,2024-06-15,Rajagopalan Heights,Jesal Park,Mira Bhayandar,401101.0,Shop,,0,448,Carpet,2,2,Unfurnished,North,0,16,visualize end-to-end metrics,,97000.0,194000.0,0.0,1,1.0,Chakradev Dugar,9726094848.0,,216.5178571428572,jesal park,
